lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
7031,2558,15298,10161,14842,3008,11763,11425,30,87
11167,6044,10059,10408,21945,6966,42996,46958,40,66
68839,10043,7308,14368,25104,10968,146434,195048,47,50
3329,6277,6208,6546,7355,7463,572079,245929,47,41
40552,22067,12963,12344,15748,9868,454760,63796,50,47
45780,26741,26846,8756,12488,3089,71565,51623,81,41
15634,28886,17343,28435,30907,20272,535184,115808,69,29
2687,3612,3157,2242,1151,1204,150741,27544,50,41
4629,15937,12310,8171,11853,7013,446068,23773,61,54
23305,49154,17675,6407,8348,8187,694166,202194,51,56
59658,12645,10801,14274,6271,6161,235148,89744,53,50
43261,21520,24169,60437,33611,14929,1167139,559318,67,43
43261,21520,24169,60437,33611,14929,1167139,559318,67,43
31241,12053,3448,10484,15409,2955,359795,171594,29,61
14636,18965,8409,38063,49468,27244,726610,168050,60,47
42999,21210,9486,26437,26540,24265,1153618,74153,66,48
323659,77012,24278,194624,73087,26867,2296230,285563,60,44
24136,12449,12325,27802,16843,4463,1230991,33903,51,56
18500,74716,17854,30444,21443,24298,1140448,85949,53,56
17127,73647,16451,22799,29661,11629,992269,132879,66,53
5055,14797,2588,14490,10394,2804,82785,18776,57,44
13819,5041,42656,33983,35303,16447,635384,27193,41,61
10673,8579,16674,11818,4165,4078,10177,18771,53,61
10673,8579,16674,11818,4165,4078,10177,18771,53,61
12448,3731,3255,2843,2669,1495,186017,19441,51,41
44044,30621,10322,9894,14269,3775,1485515,70869,53,27
16918,46437,23421,47336,64268,12623,393836,333666,67,38
138354,31754,24742,51579,46634,24004,555504,404100,47,51
68843,21126,25112,54593,39022,15331,2775066,131236,54,56
9080,23015,18095,52832,41551,16445,234295,35529,53,57
6104,4057,6485,4468,2850,1981,86183,18520,43,64
3668,5785,5669,12553,6595,2258,14252,15061,54,69
5816,9119,23110,24406,11075,11001,1675,18351,51,83
2325,2325,9812,12021,18274,3496,3305,2931,44,96
6947,19174,3138,7501,10810,1756,85985,48980,53,69
39429,49623,71810,32126,41322,6452,1358075,689275,44,26
4883,22240,6017,9892,19650,6645,169400,24039,44,26
111181,216130,36741,75214,40889,49738,2645088,1359865,78,23
111181,216130,36741,75214,40889,49738,2645088,1359865,78,23
89977,19548,29862,25078,59386,27941,2112974,239977,41,7
13788,22525,34722,19223,12857,7195,137524,25650,60,50
16879,6104,18218,24778,34650,11542,383595,553895,38,44
12421,35273,9574,16480,8593,6906,7386,5998,26,14
12421,35273,9574,16480,8593,6906,7386,5998,26,14
8582,12359,23258,16756,8642,3320,1589,5570,77,83
44423,73358,64705,23467,27096,5396,1958612,788739,63,61
8302,7324,3746,4505,4324,1887,94186,26040,63,48
28752,9367,23843,26048,17390,10618,720067,653429,40,40
253571,83104,9847,21096,61403,14505,1223711,205597,44,30
253571,83104,9847,21096,61403,14505,1223711,205597,44,30
2747,13823,10937,31535,32462,17607,10130,5614,74,61
3963,6300,4739,10310,6795,4462,4457,3221,60,100
3963,6300,4739,10310,6795,4462,4457,3221,60,100
7798,3842,2899,1961,1053,317,563321,37889,61,47
7798,3842,2899,1961,1053,317,563321,37889,61,47
2132,14713,8555,7508,8971,10574,52465,24222,50,41
32316,13924,10929,28210,28784,8271,68140,35605,51,53
7803,4405,9988,13739,26517,6232,634913,103701,34,61
7483,12298,4488,7553,5175,3074,11823,12825,56,61
52036,18308,21416,13714,8895,2491,237007,78133,60,48
2130,6647,2639,4673,2683,1233,149912,15327,75,44
33998,3621,6011,16133,19875,16512,676744,94992,44,40
163660,84870,28138,47240,122179,21027,2524167,1145885,48,27
163660,84870,28138,47240,122179,21027,2524167,1145885,48,27
54893,21560,33808,46644,20017,6658,1089328,240578,63,29
54893,21560,33808,46644,20017,6658,1089328,240578,63,29
54893,21560,33808,46644,20017,6658,1089328,240578,63,29
58900,22574,13413,19531,18878,5750,1263942,130141,38,24
14098,14098,2928,8892,6596,8715,639123,50048,50,40
40489,30287,14903,9206,11567,6708,1713983,204068,54,35
4449,9580,9531,13184,18213,2398,961225,22220,50,38
4449,9580,9531,13184,18213,2398,961225,22220,50,38
47323,10215,13709,17916,23650,9838,1533953,250694,43,48
57380,46052,36118,23056,9107,4387,2011022,165734,54,50
10132,35333,19605,23986,15123,5930,579668,218822,38,34
109106,33623,55142,18997,15276,11114,530723,65596,63,35
531,15932,29664,19157,18255,12937,30317,13832,70,54
35090,44845,15375,60789,17847,8824,1037217,329293,54,57
2960,12849,16123,13759,4463,2436,5219,15842,51,74
110786,35674,83360,34116,8798,5880,1084030,323000,63,63
53295,37593,94550,35261,12065,8694,1170502,336685,44,40
53295,37593,94550,35261,12065,8694,1170502,336685,44,40
53295,37593,94550,35261,12065,8694,1170502,336685,44,40
17693,29786,30526,27076,10926,19494,336286,325206,48,29
3728,1897,1815,3815,1187,372,174110,13561,35,43
9626,5989,11268,22633,25643,5783,1612026,395330,8,30
12109,6679,7298,13635,10626,7518,41884,38896,21,44
12109,6679,7298,13635,10626,7518,41884,38896,21,44
959,9546,24162,12676,9067,4849,25888,8586,50,56
3601,3718,20950,5913,5711,5241,34481,2026,41,69
12961,15388,71924,24680,14440,1994,814416,86533,27,60
14178,12434,5067,24964,18044,10054,500208,123288,24,51
44775,12759,4295,19499,12383,4253,1038133,35949,44,60
44775,12759,4295,19499,12383,4253,1038133,35949,44,60
2077,4822,4911,5216,8593,4295,264109,104674,35,37
12231,5282,7007,3395,3750,1698,176875,20323,43,37
133798,103039,15775,37780,38449,6071,683003,734474,41,30
65630,37057,19375,8528,8057,8394,894459,50596,56,41
5677,2307,2511,4781,3827,1447,37127,10630,83,54
1186,3355,3895,5272,3170,3586,18940,14144,75,61
92138,138236,38689,27752,11668,3212,587641,638387,63,40
3825,8336,1436,7570,1269,1563,200762,101437,53,27
