lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,poorSignalLevel,meditation,attention
348471,212344,314001,127965,46696,70719,193640,379281,200,0,0
186785,80058,60792,64056,73492,364408,968512,744221,200,0,0
248832,111495,211924,129719,56191,82107,329634,271545,200,0,0
40482,21460,20396,32206,51295,29704,285499,78733,200,0,0
218429,152623,256699,192581,56163,79939,961311,312937,200,0,0
74677,65082,305757,99771,147325,70791,1185112,193922,200,0,0
69491,175527,284163,112889,85911,232869,345303,156992,200,0,0
180266,79806,213866,67961,80994,58523,498013,472900,200,0,0
30739,47510,86551,246063,170138,141823,686365,248443,200,0,0
149784,124092,124568,103967,55572,57075,830129,1194466,200,0,0
363677,47649,351761,193512,106093,146754,332073,237984,200,0,0
166903,54832,77627,130618,65745,111568,1347265,181736,200,0,0
97424,85886,323005,192453,152574,106079,128984,1039996,200,0,0
163261,44469,68077,121625,110801,87608,1030949,603132,200,0,0
439116,91329,235654,112416,90088,93779,766588,390514,200,0,0
95199,75011,167320,103160,73175,98816,295515,292706,200,0,0
238029,34700,167059,82766,81106,71739,135657,1139541,200,0,0
151061,197560,143716,111708,95805,237784,1294665,524050,200,0,0
449851,131587,202042,49239,74474,81013,328942,308895,200,0,0
20665,21560,65838,39795,33781,24310,53622,217626,200,0,0
55080,332767,255727,67664,103331,229742,260418,537586,200,0,0
37773,18528,50641,49791,22197,16152,522376,138993,200,0,0
206663,54094,563958,164043,82583,94284,470065,301883,200,0,0
487151,60992,156383,153710,189045,106688,1013544,609149,200,0,0
108815,137260,377265,75521,80286,66746,961452,498566,200,0,0
110792,11066,357954,71624,51291,76651,1224293,241906,200,0,0
298656,62484,120220,215841,63388,186195,832713,300751,200,0,0
65232,127181,310640,98286,65835,82501,193951,295819,200,0,0
72472,131885,104812,153412,122635,76585,622926,1119066,200,0,0
228398,61982,95887,191191,181687,131167,644605,603465,200,0,0
266283,250246,223716,129236,41164,129747,451784,226808,200,0,0
98865,118262,142476,93522,56150,63956,1023463,159777,200,0,0
251169,158112,224586,219533,71631,134984,551011,430760,200,0,0
32026,32282,132708,14834,12938,7727,69753,67383,200,0,0
249640,113505,369176,61290,69974,44543,472661,447306,200,0,0
158478,188882,210303,123063,78129,82954,375162,575100,200,0,0
329421,34613,159232,233312,56194,89006,1036522,605871,200,0,0
273612,120840,266513,154714,115093,75264,215845,403689,200,0,0
159694,88614,276321,94564,179514,44425,1093834,623689,200,0,0
130102,235314,84243,173190,115395,78650,1414620,916348,200,0,0
205690,139118,99821,278020,184008,52305,615360,978006,200,0,0
272122,293851,75063,58755,108943,137626,291336,798696,200,0,0
163885,52270,304531,77624,147863,107894,137368,201186,200,0,0
138673,304818,107569,74686,56351,61877,316049,329128,200,0,0
183333,57879,341229,46237,71467,49512,912390,270910,200,0,0
