lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
11343,26525,20065,16376,6487,7900,995918,158526,53,41
3002,2174,3631,1873,343,313,254580,16701,53,67
120558,108511,239058,102212,35744,7230,1446510,984321,47,64
16990,49658,24500,13233,5110,5016,2540905,484017,34,29
16990,49658,24500,13233,5110,5016,2540905,484017,34,29
16990,49658,24500,13233,5110,5016,2540905,484017,34,29
9948,5332,5884,1644,872,487,557338,33129,64,30
25705,13394,10943,6614,1118,1149,203106,113959,44,16
27476,22355,29270,17904,3738,4069,1781766,162747,57,16
15666,20799,11993,11798,3138,741,390369,74545,64,41
5109,3866,1295,1006,560,506,257888,29667,61,34
38228,26360,8886,9419,4344,3108,647931,122865,60,35
173781,27865,124687,19243,13458,8162,1970746,347163,54,21
173781,27865,124687,19243,13458,8162,1970746,347163,54,21
625286,52861,51598,50459,67824,18890,2202533,1179367,56,40
625286,52861,51598,50459,67824,18890,2202533,1179367,56,40
625286,52861,51598,50459,67824,18890,2202533,1179367,56,40
13826,5611,9205,2613,3293,3178,600558,17861,60,54
85663,114929,24906,20457,20102,12881,1162112,276025,41,37
85663,114929,24906,20457,20102,12881,1162112,276025,41,37
9246,9311,15798,18283,8818,2902,485726,142747,40,61
9246,9311,15798,18283,8818,2902,485726,142747,40,61
23709,7803,5673,23228,10170,3624,111527,52095,67,38
54034,9486,8267,30288,10585,6228,1165993,46765,69,61
128378,43073,33055,20048,11523,13176,1777932,651951,66,57
128378,43073,33055,20048,11523,13176,1777932,651951,66,57
128378,43073,33055,20048,11523,13176,1777932,651951,66,57
128378,43073,33055,20048,11523,13176,1777932,651951,66,57
38014,43359,32507,23865,4834,9360,912004,284964,43,51
7195,3181,3383,2388,1062,282,124868,16383,44,41
23129,5492,10098,3567,1618,2586,172380,47859,67,38
41658,29848,82601,42987,20378,20644,1118825,1392828,48,27
41658,29848,82601,42987,20378,20644,1118825,1392828,48,27
7522,23315,8189,14419,8184,4384,105277,43150,77,70
7882,13537,2232,5094,1766,1314,242831,52764,66,63
7882,13537,2232,5094,1766,1314,242831,52764,66,63
49195,47381,57897,11948,28693,13261,1087296,807679,29,23
49195,47381,57897,11948,28693,13261,1087296,807679,29,23
62878,95469,37366,49384,42626,20263,1963862,274010,75,51
62878,95469,37366,49384,42626,20263,1963862,274010,75,51
38920,20740,13451,10478,7982,3411,381823,110438,61,29
37676,71783,68638,35881,16050,21828,1463841,219590,63,47
3660,16446,29201,13831,29367,3346,388991,120779,53,51
11390,2750,35046,12235,5332,6826,694124,152089,21,60
23874,11246,13207,11627,11005,4504,1585114,375295,48,34
23874,11246,13207,11627,11005,4504,1585114,375295,48,34
23874,11246,13207,11627,11005,4504,1585114,375295,48,34
171377,68547,83795,44263,31155,8279,1125482,518819,63,61
136162,15123,48243,14435,10092,5803,244955,160246,51,35
58152,17720,45901,14253,5164,5434,985565,191308,61,38
6138,1432,6648,1737,2411,493,156429,26640,63,51
6138,1432,6648,1737,2411,493,156429,26640,63,51
86,36,47,21,7,3,656,147,64,51
30827,3810,11933,4912,1986,862,1272152,39932,75,38
19324,50649,22287,10442,19329,3534,348648,216897,74,30
19324,50649,22287,10442,19329,3534,348648,216897,74,30
19324,50649,22287,10442,19329,3534,348648,216897,74,30
19324,50649,22287,10442,19329,3534,348648,216897,74,30
19324,50649,22287,10442,19329,3534,348648,216897,74,30
89131,169911,100294,39286,46707,7992,954475,621880,75,48
1029097,1498319,263970,280678,323139,91182,3241199,1642050,77,40
98993,94416,117953,39584,35382,30320,696275,142423,77,40
238096,146608,90522,44990,26705,16402,3113288,583158,77,40
30108,28947,41567,39368,4471,704,1981884,124612,0,0
2377,13423,6759,19855,3838,1763,775603,37692,0,0
39666,32884,20744,44094,6828,4290,2214529,51127,0,0
86017,105940,45148,134691,64926,41629,1669318,110388,0,0
86017,105940,45148,134691,64926,41629,1669318,110388,0,0
11279,9171,5091,7997,1384,1638,384758,96247,53,34
27038,14095,6085,3424,1282,307,672130,31996,63,1
27038,14095,6085,3424,1282,307,672130,31996,63,1
2475,808,1502,1610,951,1297,108085,23998,44,1
2475,808,1502,1610,951,1297,108085,23998,44,1
13493,33245,19929,10270,1701,1586,601057,39744,66,23
9536,3006,1742,1446,1339,635,169131,6850,80,26
9536,3006,1742,1446,1339,635,169131,6850,80,26
1626,3858,2444,2271,1539,331,27932,6826,88,20
16022,15192,49430,44546,15471,13956,1178235,152829,17,50
18398,6921,20595,10606,3177,1213,812538,43447,13,47
18398,6921,20595,10606,3177,1213,812538,43447,13,47
17297,33049,8090,8448,4406,1537,1464601,145023,20,20
92243,27582,59645,46685,27642,10917,3067051,57288,61,57
403416,32288,172639,38145,41290,14935,1601393,1080450,48,40
11057,1249,8791,2883,1363,611,1004018,66776,43,1
10026,20382,24910,23833,1209,1956,595474,117657,38,20
23589,3898,9170,6534,2431,737,518872,30747,38,20
25772,24935,14436,3524,9372,1970,1416954,83964,35,3
19160,13571,13086,8085,7417,2101,2667496,37451,75,21
3695,5035,2966,2268,1657,2599,725056,23183,67,35
5198,3419,19754,3113,3126,1731,141162,47686,20,8
5198,3419,19754,3113,3126,1731,141162,47686,20,8
6571,24100,48041,26223,19127,15477,1293442,288003,17,41
59964,37260,15559,18375,15701,14229,749509,408131,20,23
39687,10589,28420,8563,5491,2115,1416753,256843,47,8
52095,18179,76951,48176,23155,13290,662575,311398,30,16
87986,70206,126330,69914,13693,13827,1248940,803302,23,17
30229,60321,32749,18344,12020,9457,1068915,456908,17,17
24168,37786,25830,7554,8505,2190,589400,43441,40,11
5647,20019,24146,12615,2328,1511,664917,192314,54,27
45412,24760,17816,13658,13093,7971,80360,37343,29,24
14051,13942,27625,25320,5233,712,1379718,65795,53,37
37129,45933,51352,40939,10875,9125,692799,111694,48,40
6907,13471,6680,7668,7327,5617,187381,82564,54,27
21572,32390,14607,21857,13610,4743,409410,179789,35,27
21572,32390,14607,21857,13610,4743,409410,179789,35,27
88454,114961,220537,110138,37626,7718,1920835,418550,44,57
88454,114961,220537,110138,37626,7718,1920835,418550,44,57
88454,114961,220537,110138,37626,7718,1920835,418550,44,57
88454,114961,220537,110138,37626,7718,1920835,418550,44,57
7380,3466,5077,1860,835,502,82828,17751,17,3
58170,27021,36816,15098,9056,2963,1068128,127027,34,16
284719,23168,53348,35138,15524,16582,1569014,742119,40,23
170972,48780,40449,17487,14361,6725,1297242,66897,90,17
9307,2363,13574,7875,9403,2953,375585,71925,70,24
6510,17353,23895,10078,8945,3318,410132,52522,23,47
6510,17353,23895,10078,8945,3318,410132,52522,23,47
6510,17353,23895,10078,8945,3318,410132,52522,23,47
6510,17353,23895,10078,8945,3318,410132,52522,23,47
2097,4205,6894,7201,3190,3464,465330,35678,57,26
44435,14772,19364,44368,2690,1914,1383521,103466,66,23
8188,8062,9697,3545,2069,969,1539164,88701,60,13
8856,35060,16215,9672,14774,1897,2194602,377232,51,1
8856,35060,16215,9672,14774,1897,2194602,377232,51,1
8856,35060,16215,9672,14774,1897,2194602,377232,51,1
36391,13127,16298,6146,7609,2929,1816007,115119,56,24
7210,6085,11750,7820,7643,1244,576506,45734,48,26
7210,6085,11750,7820,7643,1244,576506,45734,48,26
21175,4803,9071,4456,3424,816,395750,35953,50,30
35245,10235,4478,17897,10621,8141,1651393,82180,66,26
92554,29326,20836,10009,23322,4327,302230,175360,67,17
10567,18153,11872,5008,3891,1696,313936,193942,44,1
13051,21694,12097,18940,17381,7804,795892,169466,35,11
12083,88041,54984,31026,12069,23835,1604849,486929,35,17
79190,61509,30002,21384,9928,4097,699451,162833,74,34
2673,4896,9523,2593,1370,1140,139196,21112,74,41
2673,4896,9523,2593,1370,1140,139196,21112,74,41
2673,4896,9523,2593,1370,1140,139196,21112,74,41
8740,17095,13417,5237,2218,2200,283605,58452,67,24
56082,50575,14190,6147,6596,2124,2793719,72775,67,20
49590,11301,19033,14671,10546,4733,545371,174653,70,14
49590,11301,19033,14671,10546,4733,545371,174653,70,14
10378,16874,16130,8155,10486,2235,708066,118183,63,27
20171,6296,46017,3722,4605,3580,1617166,123455,53,20
20171,6296,46017,3722,4605,3580,1617166,123455,53,20
5722,7466,22353,15308,5245,3916,282111,94966,56,40
5722,7466,22353,15308,5245,3916,282111,94966,56,40
1812,2745,919,1396,533,323,197857,12964,66,69
46038,75422,118202,50457,17790,9668,1073431,183889,43,30
23877,32882,49914,43691,3883,6296,2416823,150619,38,54
45828,21618,16444,9783,7488,5434,705277,419373,53,40
45828,21618,16444,9783,7488,5434,705277,419373,53,40
45828,21618,16444,9783,7488,5434,705277,419373,53,40
43164,10573,21263,11650,7534,4735,243804,110206,48,24
31852,26775,32429,12728,6443,5709,978911,82502,50,34
31852,26775,32429,12728,6443,5709,978911,82502,50,34
31852,26775,32429,12728,6443,5709,978911,82502,50,34
31852,26775,32429,12728,6443,5709,978911,82502,50,34
83009,228967,147287,84633,39410,51353,1280882,157765,67,41
35291,116757,110929,58104,39305,12710,2028518,126175,67,41
11708,24044,27780,21962,12374,7520,1292778,80812,61,64
5808,8104,5653,12228,25458,7948,954485,158369,27,50
37817,52360,20292,38572,16777,10860,1698033,470776,29,17
24791,76914,7809,27794,8896,2610,1004497,78834,53,23
46336,131839,25639,10030,4877,2691,405835,146906,74,10
47757,58406,33460,71503,26953,3760,677819,172756,69,27
47757,58406,33460,71503,26953,3760,677819,172756,69,27
12010,26235,6618,8771,3061,548,459353,63716,63,29
18202,15474,9332,7812,3360,4983,655378,52652,60,26
2969,8170,25822,14871,5043,1708,1295692,25302,64,38
9187,9376,4108,8260,1964,1862,322506,67435,75,40
29146,37551,22951,18940,10807,3763,1615823,88997,61,38
29146,37551,22951,18940,10807,3763,1615823,88997,61,38
17855,5859,20814,14757,6033,4585,1579248,77921,67,54
10594,7462,3675,4678,2831,1352,86006,47846,64,56
12972,20338,7489,10672,16069,3637,766317,52134,63,47
38631,33523,24433,19655,13772,3324,566703,230578,57,37
38631,33523,24433,19655,13772,3324,566703,230578,57,37
11931,38165,52766,25576,10879,8648,1850014,405366,51,47
11931,38165,52766,25576,10879,8648,1850014,405366,51,47
31562,50541,40848,22228,13073,7703,439427,122652,61,38
18788,21290,65377,43300,39406,5848,319531,149718,40,37
13879,20291,14955,12822,4859,2857,282037,178571,27,21
5023,3240,1737,1861,896,321,690111,17830,40,38
11632,2914,6056,13301,3375,800,571638,31173,41,60
11951,10244,44061,22144,5619,4472,562632,148172,37,67
12501,1872,6427,4718,1782,712,146694,48229,47,70
11124,14580,7524,6130,3231,1296,244178,134492,56,16
13973,41461,18007,22451,6808,8245,1674810,228667,53,16
80043,15147,16442,7615,5535,4036,1234426,94102,43,35
28432,66176,8146,28789,6214,4321,1777309,213036,50,37
28432,66176,8146,28789,6214,4321,1777309,213036,50,37
28432,66176,8146,28789,6214,4321,1777309,213036,50,37
5177,5256,4910,2384,4059,590,146786,26861,75,17
5301,5092,6953,3568,3463,2423,95744,34643,63,13
5301,5092,6953,3568,3463,2423,95744,34643,63,13
10865,16459,14840,6440,2280,826,1830118,64813,57,29
10865,16459,14840,6440,2280,826,1830118,64813,57,29
142519,133057,48529,37521,32070,23429,1128607,228821,70,29
55911,48577,76441,59569,13310,10024,1026107,540687,54,29
18489,4625,8251,15667,8579,6879,2960805,95292,38,37
18489,4625,8251,15667,8579,6879,2960805,95292,38,37
7489,22287,34567,7101,7384,3750,232133,161144,37,26
9197,18560,7037,4318,3170,1858,900958,17988,56,29
44053,52540,8074,21433,13361,8947,182503,83037,94,51
44053,52540,8074,21433,13361,8947,182503,83037,94,51
119453,13833,5844,20750,7936,2416,551730,187315,70,7
119453,13833,5844,20750,7936,2416,551730,187315,70,7
136764,45047,45287,36868,17349,4598,1346245,110791,64,48
9477,30329,42675,4924,11449,4562,383686,190563,47,1
11490,68366,86736,60694,18349,10132,1622583,764539,43,16
13869,4689,4805,9072,5445,2671,478816,114292,40,20
12901,16007,5258,7094,7154,3283,907835,39973,54,30
12901,16007,5258,7094,7154,3283,907835,39973,54,30
120824,31966,45745,37174,11696,6075,1835921,591513,60,35
120824,31966,45745,37174,11696,6075,1835921,591513,60,35
137979,38298,41465,45389,18112,14573,2344718,559134,64,23
10632,16226,4252,9407,4429,2496,129143,21575,96,50
10682,35619,13242,12168,3426,2809,1121786,132355,81,48
20913,17241,7247,4571,3931,1251,1106260,124093,61,23
1960,9268,3374,3453,1923,455,57769,61655,63,20
