delta,theta,alpha,beta,gama,Color
-144.285213114,-87.2106357536,-63.0162117157,12.1354080475,6.22489546822,red
-146.678695763,-92.7333591388,-41.3081693253,12.56741748,-17.3291361141,red
-148.253664834,-95.9571517259,-17.2191193946,6.64877265215,-26.0980389364,red
-148.989495626,-96.66203,7.60123161331,-4.78709622651,-11.8405999626,red
-148.873140966,-94.6986972403,31.5054899379,-18.1095798258,12.1603872886,red
-147.899415897,-89.9962415617,52.9723599292,-28.3324430339,23.8059202674,red
-146.07122101,-82.5673011595,70.7144041866,-31.1626457386,13.6689767409,red
-143.399679546,-72.5104226861,83.7615081891,-24.813152329,-6.70194732095,red
-139.904168132,-60.0094477025,91.5142529145,-10.8616065435,-17.6688685803,red
-135.612229036,-45.3298828642,93.7642854292,6.19855699663,-11.0919936815,red
-130.559359029,-28.8123325519,90.6818586556,20.5816938081,3.70208318418,red
-124.788677232,-10.863193063,82.773688083,27.4088400098,11.6743744745,red
-118.35048109,8.05708042908,70.8168611706,24.6184492045,7.16325876208,red
-111.301704304,27.4477257873,55.7764996568,13.802870825,-2.90591730128,red
-103.705291361,46.7829598286,38.7160342561,-0.398646114931,-8.21366872767,red
-95.6295023902,65.5282581093,20.7091563054,-12.1352934476,-5.12030599538,red
-87.1471639837,83.1570516648,2.76170080669,-16.6901805512,1.84224171302,red
-78.3348836021,99.1672494329,-14.2499573907,-12.3854273029,6.08543713346,red
-69.2722426253,113.097007971,-29.6196824003,-1.24322099712,5.07343298757,red
-60.0409789763,124.539206215,-42.8298526865,11.885643668,0.988830695711,red
-50.7241690757,133.15413564,-53.5481914794,21.341802318,-2.82955189695,red
-41.4054208537,138.679982781,-61.6067125485,22.9454690926,-4.75756879474,red
-32.16808959,140.940763911,-66.9682414269,15.6010264346,-4.54048502323,red
-23.0945237622,139.851470227,-69.6870256153,1.6193202883,-1.93199059992,red
-14.2653448719,135.420285874,-69.8701299764,-14.2868540007,2.6464416518,red
-5.75876725322,127.747842438,-67.6456691791,-26.8640150915,6.49968319082,red
2.35003475041,117.023574633,-63.142479568,-32.253474222,5.93298774379,red
9.98950812937,103.519343233,-56.483739248,-29.2290069253,0.44740218004,red
17.0922495179,87.5805836464,-47.7946695577,-19.3190719099,-5.50814044968,red
23.5954765711,69.6153146374,-37.2221601904,-5.91417792978,-6.66903051427,red
29.4414356709,50.0814035486,-24.9621939565,7.1422112366,-2.56553049414,red
34.577739981,29.4725347021,-11.2895171389,16.8667271836,2.34270798395,red
38.95763565,8.30336429812,3.41667983066,21.8903221068,3.99532886911,red
42.5401975694,-12.9056361095,18.6570899137,22.4816500715,2.61384281385,red
45.2904534103,-33.6431511775,33.8114770361,19.9582119854,0.816970901808,red
47.1794278193,-53.4213390105,48.1556484492,15.8239677799,-0.292286800027,red
48.1840991066,-71.7890595462,60.8968366665,11.0755617106,-1.35563239501,red
48.2872697639,-88.3436193327,71.2257200541,6.0100381448,-2.1307933188,red
47.4773607865,-102.74069046,78.3809815564,0.549815889979,-1.30056331647,red
45.7481436696,-114.70212945,81.7202782234,-5.22204163797,0.708374668285,red
43.098424235,-124.021501805,80.7900647774,-10.726007703,1.21087325307,red
39.5316900689,-130.567205564,75.3861174482,-14.9880943199,-0.852885446141,red
35.0557290339,-134.283178166,65.596976508,-17.1039332853,-2.29045291464,red
29.6822235439,-135.187258087,51.8239126569,-16.7368354211,0.548823213168,red
23.4263249282,-133.36735166,34.7732962992,-14.2991448737,5.73579694372,red
16.3062112301,-128.97562668,15.4201163642,-10.6894930057,6.3953369629,red
8.34263173933,-122.221013726,-5.05545847051,-6.75597664304,-0.948439205721,red
