delta,theta,alpha,beta,gama,Raw Data,Color
-191.600510325,100.68102433,-15.141678787,-6.5898838096,-18.9957756239,-164,blue
-187.334311548,125.29702232,-26.1377995736,-8.34595224941,-29.1383703409,34,blue
-182.639938696,147.346490625,-35.557592806,-9.78350437909,-9.00720956595,187,blue
-177.618368314,166.206096653,-43.3140988525,-11.5299491728,17.2883167918,-244,blue
-172.376806017,181.334919644,-49.3736026103,-13.1887735355,20.5900123632,324,blue
-167.02813002,192.290930623,-53.7261656536,-13.6162052034,1.32615569474,-5,blue
-161.690300713,198.744513145,-56.3631583367,-11.648023072,-13.8492443933,-7,blue
-156.485731196,200.48859634,-57.2648059032,-6.84863029873,-7.16910301977,343,blue
-2.1395451201e-06,-2.1395451201e-06,-2.22949337312e-05,-0.0053039641177,-0.0173919332595,-184,blue
-2.13165082385e-05,-2.10770636022e-05,-0.000209335299374,-0.0398406335226,-0.0718455337381,305,blue
-0.000101439825002,-9.8606556529e-05,-0.000913073573165,-0.12080963604,0.0120810913447,86,blue
-0.000309555653937,-0.000293131172207,-0.0024391779656,-0.150376286256,0.523144962282,-118,blue
-0.000680251484234,-0.000617564243668,-0.00429106075823,0.130883790443,0.825435044162,357,blue
-0.00111651345823,-0.000938626496171,-0.00434724032732,0.908743541924,-0.720183349665,-179,blue
-0.00127144327992,-0.000872866690395,0.0013809694921,1.89830529971,-3.56060401473,170,blue
-0.000429072553941,0.00029104738194,0.0180464314605,2.23096076411,-2.99394780289,184,blue
0.00260452665151,0.00362373397593,0.0503371980753,0.914295525662,4.04374377343,-213,blue
0.00959268345303,0.0105284402313,0.100278143213,-2.33552249795,11.158138869,338,blue
0.0229328663032,0.0226476211403,0.165000884199,-6.48980561271,6.68326346658,-199,blue
0.0456822012682,0.041696740587,0.23507562257,-9.38313098586,-10.2414220403,-71,blue
0.0815298255096,0.069224521808,0.293954318874,-8.73680216662,-22.5248917123,117,blue
0.134701017937,0.106304826414,0.318915059338,-3.52291730871,-11.9809617348,-398,blue
0.209787085345,0.153181451773,0.283749183681,5.15036438394,16.2768971255,167,blue
0.311508433467,0.208906150758,0.163217470131,14.2380428599,33.7586744234,-232,blue
0.444428657247,0.271022790352,-0.0610500495788,20.0225827975,18.4157128974,-132,blue
0.612647437953,0.335358182113,-0.393927249606,19.8116590073,-18.1803766944,300,blue
0.819508803528,0.395981224562,-0.820509609418,13.1952428972,-39.8793075188,-285,blue
1.06736571767,0.445383163669,-1.30151012082,2.22677257761,-23.9233766958,211,blue
1.3574264166,0.474898027205,-1.77190438248,-9.57112407766,14.1012784784,-68,blue
1.68967803187,0.475332404335,-2.14438755741,-18.8616257549,36.8380866527,-200,blue
2.06286697707,0.437740595133,-2.31854672261,-23.8713302912,24.8479333536,330,blue
2.47452014523,0.354274277256,-2.19540030682,-24.6820371034,-5.22708304634,-220,blue
2.92100764911,0.219046628004,-1.69551119334,-22.3338423344,-22.8084052954,148,blue
3.39765442608,0.0289553295564,-0.777821224644,-17.496851074,-17.431945716,96,blue
3.89889677429,-0.215601391346,0.544040289927,-9.81492426147,-4.53149960414,-169,blue
4.4184733352,-0.510182860691,2.19116317521,1.50828359483,0.0768056098587,449,blue
4.94964669905,-0.845988883141,4.01722346924,16.2928963122,0.714546541489,-70,blue
5.48546180396,-1.20979522372,5.81661324181,32.2037914461,10.1134405841,113,blue
6.01904140762,-1.58416104952,7.34308654875,44.7472915976,23.8534190435,236,blue
6.54389683589,-1.94793444237,8.33729986716,48.6663459771,20.3197551941,-174,blue
7.05422412139,-2.27707202226,8.56010870324,40.2160996496,-8.87121163828,409,blue
7.54516806536,-2.54575558993,7.8275931439,19.3265840714,-38.8904049663,9,blue
8.01305290215,-2.72775203507,6.04339478295,-9.44413625848,-35.2287700683,37,blue
8.45558169157,-2.7979420392,3.22390958995,-37.8954373664,3.47210389897,309,blue
8.87199487829,-2.73394205739,-0.487760215403,-57.0108619687,38.6000680635,-209,blue
9.2631721669,-2.51774147241,-4.82215792676,-60.5228940356,34.3808956997,272,blue
9.63166662055,-2.13726681535,-9.39952012589,-47.5545557471,-0.56004646706,52,blue
9.98166932868,-1.5877748044,-13.7609100817,-23.0115722816,-25.1562208912,-109,blue
10.3189124112,-0.872971512218,-17.4118215135,4.51075408102,-16.405408514,362,blue
10.6505203985,-0.00576414703519,-19.8739732918,26.2933760043,5.52334532645,-177,blue
10.9848220075,0.991432578232,-20.7398088175,36.8442148825,7.94026351876,184,blue
11.3311354084,2.08689189286,-19.7236212091,35.553482299,-10.0246039757,172,blue
11.6995363617,3.24029819454,-16.7033646388,26.0809007454,-17.8218932764,-181,blue
12.1006169535,4.40399353507,-11.7479863817,14.0307155932,3.19261348015,364,blue
12.5452400782,5.52471108617,-5.1264851182,4.20918063732,31.6411067551,-120,blue
13.0442945625,6.54573137841,2.70330682345,-1.20730682405,30.9123930511,124,blue
13.6084593238,7.40937588861,11.1261932126,-2.88172479459,-4.29810306388,256,blue
14.2479847728,8.05973149209,19.4191610891,-3.10489563993,-38.7813122254,-189,blue
