Delta,Theta,Alpha,Beta,Gamma,Attention
2.95986645937,2.23698594154,4.33704702107,8.51646457282,5.20906048782,1
3.97314040342,2.53299800716,3.71862926574,6.7107241254,4.79075224871,1
3.47355237572,1.61633470073,1.86374120592,3.17039825878,2.97702320121,1
3.22655392032,1.08650752693,1.16675992325,2.02461130038,2.3199684819,1
2.99802137023,0.807139746382,1.03480398997,1.89909366195,2.12507028583,1
2.87758728861,0.805017236397,1.26525069667,2.35974312319,2.27333929802,1
2.76315422484,1.04753013188,1.64851174054,3.06120167619,2.55490172655,1
3.37826046243,1.64584751435,2.29671750194,4.32151073482,3.34835309184,1
4.91333513608,2.39554681374,3.03455547138,5.97620595566,4.6202990159,1
4.38657023478,1.77516217096,2.27347553968,4.85970663657,3.88459692449,1
3.81924889276,1.43406754842,1.76861742759,4.2157136207,3.45431943459,1
3.37065818201,1.5408844842,1.55383500699,4.15032840002,3.38446764387,1
3.00188615676,1.76992247898,1.51080989897,4.39838553042,3.5128314622,1
2.88631724823,1.96895112417,1.70445639774,5.12090258349,4.02768185778,1
3.09755391928,2.51770403069,2.39219488087,6.78267646781,5.19261362365,1
4.15758586365,5.00418991827,4.60738383434,10.9297350568,7.6182271399,1
4.28239670816,6.71319863975,5.81577427949,10.9534791763,6.65818590823,1
5.04927425759,7.11577320999,6.41224132832,10.1376835946,5.55461180439,1
6.1074101432,6.16717894783,6.2370812747,9.33638146349,5.04833193246,1
5.97802913225,4.07031283075,4.69579243983,7.60510805554,4.32280247647,1
5.83283218783,3.43916063946,3.85580691121,7.0754116978,4.21637992447,1
5.12001545801,3.41863175575,3.39449238806,6.19053027323,3.73845020303,1
5.27626313837,4.04305978733,3.94438351246,6.30253386655,3.82147661008,1
5.52014651614,4.14606129741,4.49728210538,6.58539187467,3.97190302082,1
5.49876218067,3.50539644705,4.47652544623,6.86645730825,3.94474254484,1
5.10061227696,2.46405753319,3.70299002621,6.66512687615,3.47126271644,1
5.16231267759,1.89665329343,3.25748763149,6.76114340099,3.09792523397,1
5.11050890382,1.66124573451,3.15121846076,6.66195696692,2.70579750777,1
3.90238682161,1.31097297662,2.53656073594,5.0163499016,1.95010472173,1
2.94724594673,1.03295644828,1.93767633762,3.54771445821,1.46898006521,1
