delta,theta,alpha,beta,gama,Color
-0.279659976,-0.206312998,-0.614976573,11.93092832,13.4218801,red
-0.435130441,-0.302862116,-0.65607336,5.886621495,11.40907496,red
-0.652012428,-0.425131264,-0.586289485,-5.552218108,-3.857755641,red
-0.945482547,-0.573004708,-0.361841477,-19.31053952,-19.68713554,red
-1.332175734,-0.743916256,0.047789552,-30.36998962,-19.27503388,red
-1.829974976,-0.932468205,0.64864672,-33.60553933,-0.16092466,red
-2.457788949,-1.130247268,1.412799599,-25.97517235,20.69294795,red
-3.235323905,-1.325869871,2.272963247,-8.090799318,23.26370397,red
-4.182845634,-1.505263262,3.123306264,15.58284134,5.355818726,red
-5.320924271,-1.652170503,3.827621239,38.04824701,-15.40868638,red
-6.670156958,-1.748855471,4.234746838,52.10866064,-20.43641805,red
-8.250867551,-1.776975674,4.19973486,52.82032417,-8.256186159,red
-10.08278865,-1.718586121,3.608001274,39.16711787,7.067991665,red
-12.18473548,-1.557232629,2.398863156,14.40859839,12.48097365,red
-14.57427555,-1.279080138,0.584675909,-14.9239577,7.557696058,red
-17.2673797,-0.873998456,-1.737706022,-40.95355174,0.496021298,red
-20.27802666,-0.336515112,-4.385531323,-56.70129306,-3.204873137,red
-23.61774721,0.333434464,-7.100262391,-58.10640393,-4.944570362,red
-27.29512276,1.12998912,-9.569518809,-45.31974399,-6.836180204,red
-31.31527119,2.041077034,-11.4596322,-22.75890741,-5.635678577,red
-35.67935217,3.048355484,-12.45576747,2.355272948,2.96949596,red
-40.38411474,4.127369766,-12.30491483,22.64724762,14.40901103,red
-45.42150349,5.247926368,-10.85604356,33.37987427,15.19399579,red
-50.77834026,6.374669902,-8.091572269,34.08332485,-1.893530732,red
-56.43609631,7.467850345,-4.145004453,28.19971925,-23.96292393,red
-62.37076444,8.484268233,0.69896928,20.9275964,-26.54522167,red
-68.55283858,9.378382739,6.023470122,16.3725914,-0.736948144,red
-74.94740825,10.10356246,11.3165951,15.46284146,31.63209989,red
-81.51437177,10.61345665,16.02333945,15.693095,37.11440302,red
-88.20876482,10.86346629,19.60677191,12.80947976,6.772974908,red
-94.98119283,10.81229554,21.61147644,3.522772943,-31.57339779,red
-101.7783507,10.42356092,21.72157916,-12.21516967,-41.15868196,red
-108.5436129,9.667427301,19.80590198,-30.6098671,-14.22918106,red
-115.2176786,8.522226542,15.94394439,-45.45478912,21.66333703,red
-121.7392643,6.976001482,10.42843547,-50.88569251,34.19651855,red
-128.0458313,5.027911213,3.742952746,-44.06458032,17.94793664,red
