lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,delta,theta,meditation,attention
74970,22164,5552,5078,12308,8234,166222,53543,63,23
22398,14730,15129,23032,18272,4726,980672,104846,60,61
80338,34409,32882,37594,21774,5480,1768554,395076,41,43
21861,26853,14923,6285,7488,3405,191612,22191,50,24
21861,26853,14923,6285,7488,3405,191612,22191,50,24
14067,4786,9384,7415,6251,7542,56924,88042,63,24
19589,18291,6099,15027,4241,3232,2187468,55509,50,43
4632,12577,10806,3902,1925,2543,522684,65135,40,35
10248,7999,13023,22535,16042,3871,87748,47847,44,63
54119,13060,25446,45363,16267,8724,1218865,173472,34,64
54119,13060,25446,45363,16267,8724,1218865,173472,34,64
54119,13060,25446,45363,16267,8724,1218865,173472,34,64
129031,192169,62495,48040,34682,13556,1697510,713461,43,54
171396,357362,253632,54305,68028,42219,718329,1674758,29,1
8648,9058,16912,13285,15628,8891,405841,452148,16,10
8648,9058,16912,13285,15628,8891,405841,452148,16,10
176519,111476,44812,13819,34693,21734,1483725,331557,77,57
13122,6693,11388,7725,8346,3394,325402,184586,54,17
52722,23622,19098,16204,12066,1494,1170668,143192,30,20
3637,11195,21974,13382,12266,2939,2062416,52241,24,37
56345,18905,97258,32411,80104,13645,406989,538966,50,29
164462,9057,128271,88944,27623,12255,1130481,203745,30,29
12086,2640,32190,11828,5719,2213,1100382,51957,29,60
12086,2640,32190,11828,5719,2213,1100382,51957,29,60
29746,68310,19447,51661,80473,37411,508293,670434,23,44
1169,5872,1004,6665,9799,5133,135605,24578,44,75
322600,73767,23115,53501,26108,8699,1983880,198385,67,77
72021,52832,26012,13594,20972,4612,2616501,414754,64,35
68522,52446,84373,120494,58482,39244,1353837,1621771,48,29
75114,35004,80072,28327,18156,14219,668013,158181,48,47
75114,35004,80072,28327,18156,14219,668013,158181,48,47
8037,8566,10704,9038,4162,959,466450,32430,56,30
8037,8566,10704,9038,4162,959,466450,32430,56,30
39706,1413,9792,9467,7505,1781,150306,81284,50,44
27667,54433,11591,12424,3403,9445,1333765,152456,67,23
41262,201565,204178,90183,59132,44756,2766705,642980,61,24
24896,20766,20911,24915,5602,5276,627636,71768,53,40
76780,57555,82591,20934,15584,11793,257001,256300,53,34
8753,26606,11890,12620,8360,7210,319246,65039,60,38
7332,31684,70395,11676,8224,4747,1156902,127421,38,23
23287,13070,5947,5582,3398,3411,50380,58494,40,14
370865,95856,94690,111946,20809,20717,1284933,473372,56,37
370865,95856,94690,111946,20809,20717,1284933,473372,56,37
10329,15952,4054,3092,6594,2605,375298,133080,34,21
173041,15676,105921,75169,18935,26604,1865092,180650,37,24
75663,3506,19451,14859,6660,2616,385130,31744,60,29
44399,12605,49541,30037,18994,19069,663111,572704,61,51
63135,45506,22492,41856,10420,7642,1081346,194950,40,35
30841,7340,15345,15420,20015,3919,827882,136202,53,35
118509,57200,30388,51960,9996,11319,2225210,163918,56,60
118509,57200,30388,51960,9996,11319,2225210,163918,56,60
118509,57200,30388,51960,9996,11319,2225210,163918,56,60
28124,9501,7995,12359,5752,6457,229567,109764,51,50
891914,925037,227476,118492,262409,27346,2733072,1432535,56,37
13617,4993,6423,2828,5230,4454,593572,81470,60,11
6856,2105,2251,1106,1238,879,50438,19411,51,11
26708,12871,7968,8918,5810,3343,470446,141879,43,1
32885,45811,21449,53504,14559,1166,525684,181885,43,27
17577,30502,21635,17151,25135,6377,842250,187850,48,60
34135,5854,3142,9566,7381,4429,931812,31545,67,50
34135,5854,3142,9566,7381,4429,931812,31545,67,50
34135,5854,3142,9566,7381,4429,931812,31545,67,50
34511,47307,73849,59815,62442,9564,295682,173183,61,41
88335,41164,43443,26313,33165,10385,745594,324935,54,43
22739,8696,15688,8763,6358,10188,827445,118318,41,29
16979,39759,50286,13209,19382,3353,222133,222582,48,27
15776,23854,46812,33682,41211,19358,1210021,226894,40,38
2656,3063,4419,2577,4732,862,664037,90358,23,50
10072,8923,8275,12116,5917,3148,465515,146130,23,35
10072,8923,8275,12116,5917,3148,465515,146130,23,35
99918,60352,52521,46842,35143,37398,1399803,817808,38,23
52561,6442,7784,6092,3081,3409,1450287,83570,41,20
17385,15888,42839,35580,26927,10198,782992,196168,44,41
50232,190917,43424,42576,17155,9052,561024,392137,48,43
50232,190917,43424,42576,17155,9052,561024,392137,48,43
140145,30342,15785,34727,41645,25817,820912,368835,54,34
551192,186889,140268,417002,102570,32121,1266790,1825709,53,43
81519,32686,25497,44020,19296,11158,1548961,276378,41,50
9639,16348,8143,4248,1832,799,221261,24364,50,43
21827,8207,25806,25489,12365,5402,335018,161594,41,53
9320,10533,6215,3665,3679,809,675033,90015,43,26
9320,10533,6215,3665,3679,809,675033,90015,43,26
9320,10533,6215,3665,3679,809,675033,90015,43,26
9320,10533,6215,3665,3679,809,675033,90015,43,26
110854,29099,13747,36816,42917,14484,1069780,529167,38,38
89635,210028,109391,43681,46483,17794,2765750,323766,56,40
157290,128368,26235,35359,20139,13760,931806,331656,64,50
157290,128368,26235,35359,20139,13760,931806,331656,64,50
61420,26565,32945,44567,14926,9443,694305,343427,35,51
86856,24461,9120,12221,10052,2750,759464,57244,51,41
149381,244584,172389,61183,32362,15698,1900521,416948,67,41
110665,32487,26308,47528,17293,8907,2072394,409052,77,37
110665,32487,26308,47528,17293,8907,2072394,409052,77,37
110665,32487,26308,47528,17293,8907,2072394,409052,77,37
5283,20472,6767,4542,4474,3013,136019,51203,51,34
92144,64094,110317,58788,65395,15015,1695356,539943,48,29
92144,64094,110317,58788,65395,15015,1695356,539943,48,29
78448,89087,22356,22473,23180,4933,2427853,186073,75,56
78448,89087,22356,22473,23180,4933,2427853,186073,75,56
9498,32836,13334,9386,13566,10002,847366,220077,63,8
9498,32836,13334,9386,13566,10002,847366,220077,63,8
9498,32836,13334,9386,13566,10002,847366,220077,63,8
9498,32836,13334,9386,13566,10002,847366,220077,63,8
21577,16264,35909,8443,8767,5952,1905556,72107,56,24
300685,122186,158964,159524,58192,42796,1026493,449519,44,50
911354,193507,325090,186849,79250,75054,1254324,191408,80,56
21147,11621,20565,11095,10137,2558,1854170,184548,67,43
64078,8431,43024,28736,25857,7436,1269501,217243,47,17
14083,101803,42375,38557,30740,6208,763776,332103,37,40
14083,101803,42375,38557,30740,6208,763776,332103,37,40
20132,13144,9404,7378,11462,5204,337739,35062,64,23
20132,13144,9404,7378,11462,5204,337739,35062,64,23
20132,13144,9404,7378,11462,5204,337739,35062,64,23
20132,13144,9404,7378,11462,5204,337739,35062,64,23
20132,13144,9404,7378,11462,5204,337739,35062,64,23
33242,16739,20720,39315,17719,12545,1537104,102526,38,41
11868,1506,1077,1529,1477,203,46939,28155,53,34
58130,3518,10680,3489,3173,1535,230160,59638,74,17
42931,38573,70813,15459,9262,11545,2284219,63353,63,38
60637,40929,20212,32110,41871,18635,461925,401791,63,51
19418,60906,25071,41829,35359,26936,1353154,560253,53,35
207677,190774,303339,51288,40392,17846,662299,655513,35,24
109557,173508,190827,82524,35792,23290,1730772,284940,48,30
109557,173508,190827,82524,35792,23290,1730772,284940,48,30
109557,173508,190827,82524,35792,23290,1730772,284940,48,30
21269,22325,37805,22191,33300,4170,618511,155763,50,54
11384,2858,3949,7821,2221,1291,253347,43840,44,56
24900,69675,19749,25226,28826,6277,185769,154839,41,47
27214,7296,9244,13341,9210,9748,720910,308752,37,37
205571,30298,60155,95652,33268,19666,579504,725037,41,27
30641,22473,13287,9714,10435,4099,301483,60502,61,35
